1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO
DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO
DMSO,DMSO,1,1,1,1,1,1,1,1,1,DMSO,DMSO,5,5,5,5,5,5,5,5,5,DMSO,DMSO
DMSO,DMSO,1,1,1,1,1,1,1,1,1,DMSO,DMSO,5,5,5,5,5,5,5,5,5,DMSO,DMSO
DMSO,DMSO,1,1,1,1,1,1,1,1,1,DMSO,DMSO,5,5,5,5,5,5,5,5,5,DMSO,DMSO
DMSO,DMSO,2,2,2,2,2,2,2,2,2,DMSO,DMSO,6,6,6,6,6,6,6,6,6,DMSO,DMSO
DMSO,DMSO,2,2,2,2,2,2,2,2,2,DMSO,DMSO,6,6,6,6,6,6,6,6,6,DMSO,DMSO
DMSO,DMSO,2,2,2,2,2,2,2,2,2,DMSO,DMSO,6,6,6,6,6,6,6,6,6,DMSO,DMSO
DMSO,DMSO,3,3,3,3,3,3,3,3,3,DMSO,DMSO,7,7,7,7,7,7,7,7,7,DMSO,DMSO
DMSO,DMSO,3,3,3,3,3,3,3,3,3,DMSO,DMSO,7,7,7,7,7,7,7,7,7,DMSO,DMSO
DMSO,DMSO,3,3,3,3,3,3,3,3,3,DMSO,DMSO,7,7,7,7,7,7,7,7,7,DMSO,DMSO
DMSO,DMSO,4,4,4,4,4,4,4,4,4,DMSO,DMSO,8,8,8,8,8,8,8,8,8,DMSO,DMSO
DMSO,DMSO,4,4,4,4,4,4,4,4,4,DMSO,DMSO,8,8,8,8,8,8,8,8,8,DMSO,DMSO
DMSO,DMSO,4,4,4,4,4,4,4,4,4,DMSO,DMSO,8,8,8,8,8,8,8,8,8,DMSO,DMSO
DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO
DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO
,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
NA,NA,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,NA,NA
NA,NA,3,3,3,3,3,3,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,NA,NA
NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
NA,NA,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,NA,NA
NA,NA,3,3,3,3,3,3,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,NA,NA
NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
NA,NA,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,NA,NA
NA,NA,3,3,3,3,3,3,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,NA,NA
NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
NA,NA,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,NA,NA
NA,NA,3,3,3,3,3,3,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
